Q9GZY0	P11182
Q8IYD2	Q8NGE3
O15069	Q9H425
Q92793	P78509
P35367	Q96A08
Q9H422	Q96PV4
Q8NC51	Q6ZN28
Q96DZ9	Q8NCL8
P15621	O14921
P34130	O75071
P49327	Q9C0D2
P54855	Q96A19
Q3KNT9	Q8IZR5
Q29963	P0CG21
A1L4H1	O96005
Q8IYD8	Q9UDX5
Q969T9	O95239
Q9NYZ3	O76087
P51677	Q9ULY5
Q8NE28	Q8TDR4
Q96MR6	Q9Y297
O60733	Q5T0F9
P68036	O14684
P51793	Q9BZJ8
Q8N5N4	P48552
P62917	O60844
Q5BJF2	O95202
Q8IX04	Q9NR64
Q8TBZ0	O43307
Q02556	Q96DM1
P30512	Q8N4P6
Q9NQZ6	Q8WXX0
Q96LT9	A1A5C7
Q9BQ31	Q7Z7A4
Q9UBN6	Q9H5Y7
A8MVS1	Q9BSF0
Q96A26	A6NHS7
Q9GZT3	Q7Z7L8
P02745	Q9BQA5
Q68CJ6	A9Z1Z3
Q8NGS5	Q5VZF2
P27540	Q96IQ7
Q9HAH7	Q5TGY3
Q9NX08	Q9Y6X5
Q8IUG5	Q96SL8
Q03111	Q6NUR6
Q5VVW2	Q8TEX9
Q9H3Q1	O15439
Q9Y6W5	Q6UXR4
Q9BUM1	Q96F44
Q96JT2	A1A519
Q8NG85	P49721
Q07869	Q96S66
Q68E01	Q99972
Q9NS73	P27539
Q9NPD8	Q9UHG2
Q8WUG5	Q92629
Q30KQ5	Q6XE38
Q6BEB4	Q04656
C9JDP6	Q13185
Q8WZ55	P51948
Q9UI42	P0CB38
Q149N8	O15381
Q96N64	P11229
Q75MW2	P30518
P50749	P49023
Q9HBG6	Q96EH3
Q9NR50	Q9BV73
Q96RP8	O60218
Q8TDN7	P39656
Q00610	Q02577
O95183	Q9HB07
Q08431	Q9Y334
Q9NZP2	Q9Y5A9
Q03936	Q8WW43
P55087	Q9BXE9
P40933	A6ZKI3
Q8N4T0	Q17RD7
Q9BRJ9	Q8N4L8
Q16586	Q6ZVT0
P38936	Q96FZ5
O15034	Q96PQ5
Q6ZR03	Q8ND25
P50748	P59544
Q9UNF0	O00506
Q15223	Q8N201
Q6IC83	Q8IVF1
P52789	Q96BN6
Q8NAS9	Q96EY1
Q96N20	Q13889
O95631	P14868
O43734	P22607
Q86X19	Q92610
P26599	Q9C0A1
Q04656	Q9BTN0
Q93050	O60921
Q9UMX6	Q4UJ75
P60568	Q5JUQ0
Q02548	Q86U17
Q96CP7	Q96A09
Q9NQS5	P31641
Q9UK28	P35367
Q96SE0	P07202
Q9Y4C4	Q9H1P6
Q8IVF7	Q96NR3
O15079	Q8NGJ4
Q07617	P22748
P07225	P63302
Q9GZT5	P04275
Q9NQT4	Q8NA92
Q5BN46	A6NJ78
Q5VTE0	P62851
Q9NW13	P0CAP1
O75952	Q9H9E1
Q99453	P00740
Q6ZMV5	Q8TB05
Q8NBR6	Q5T2R2
Q99712	Q8N998
P42285	Q5T7M4
Q9Y2R2	O95057
Q8N5C7	Q8NBF2
Q8IUI4	Q3SYC2
P01236	Q8TD23
Q96NL6	P61916
Q10567	Q9Y4E5
O60609	P48681
Q9BSD3	O15264
Q14956	O96015
Q96PP9	Q9BZA5
Q9Y2K1	Q9NUS5
P56278	Q8IXK0
P82251	P08185
Q9Y2B0	Q86YM7
Q9NX47	Q93077
Q9NPP4	O75061
Q14055	Q8TDB6
Q9NZZ3	Q2VWA4
Q9UN72	Q9HAH7
Q30KQ1	Q53SF7
Q7Z5A4	Q5VVP1
Q969S6	P22492
O00329	Q9P2H0
Q9BV81	A0PJX8
Q8WTX7	P19876
O95997	Q92546
Q6P4F7	Q70YC5
O15392	P13760
P49146	Q96GX1
P04141	Q580R0
Q7L590	O15496
O00507	Q7Z4N2
O14730	P57678
P33947	Q05084
Q7Z2D5	Q8N394
Q6PIS1	Q9HBX9
P22676	A2A2Z9
Q9UHQ7	P17509
Q96CW1	Q969S8
Q969T9	Q6UWN0
Q9NY87	A2VCK2
P49221	Q6ZW35
Q7L5L3	Q5T7V8
A6NNA2	Q567U6
Q495T6	P33681
Q01524	Q96RK1
Q9NQR7	Q8N2W9
Q8WV19	P22612
P43378	Q9Y608
O75362	Q15398
Q9NX94	O95996
Q9Y696	P14921
O96007	Q15053
Q8WUM4	O60312
Q9BSJ1	Q9UF11
P46091	Q9HC38
Q14831	P52655
Q96ST8	P78371
Q9BSF8	Q08334
P01106	Q8NGU1
Q9HBM1	Q05516
Q5MJ09	P01040
Q9Y3M2	P05019
Q9GZY8	Q6ZMT1
Q96AQ1	O95857
Q16515	Q9BWU1
Q9NS68	Q13043
Q9BPZ2	O76014
Q5GLZ8	Q8IXI1
Q8TD20	Q9BZW4
Q9UKH3	Q8IVV2
Q9P2I0	O60671
P20851	Q9UBV4
Q8NDX2	Q8N319
Q96MZ4	Q9C0I4
Q14721	Q96MT0
Q96RT7	Q8IZD6
P07384	Q9H310
A8MXE2	Q86VX2
Q5T753	Q9Y616
Q5T7R7	A6NEL2
O95625	Q6ZNB7
Q8TAD1	Q9UHX1
Q3SXZ7	Q9Y5W7
Q68DY1	P0C7W0
Q8IXI1	Q9HD64
P05177	E9PKD4
Q3YBR2	Q8NCW6
O75409	Q8NGG6
Q8WZB0	Q13394
P16109	Q96JQ2
O14562	Q9HCE0
Q14596	Q8WU66
Q8NG92	O95394
Q92800	P30501
Q15388	H3BNL1
O43143	P15814
Q92484	Q9BUH6
O15537	O14681
O95967	Q9Y3C4
Q9HCS5	Q5CZC0
Q01804	Q9P2X7
Q9UG63	O14787
Q05932	Q8NGZ3
Q96JP5	O95900
Q16891	O95644
O00566	P10412
O75437	Q6UX06
Q9NYP8	P35250
Q9Y6J3	Q9BY07
Q9P2J3	Q9BRQ5
Q9Y2J8	Q9UJ98
P07437	Q8N0V4
Q9H2C5	A6NKW6
S4R3Y5	Q9NXG2
Q13976	O43172
Q9BZJ3	O15014
O94900	Q96AY4
P61158	P07384
Q9NR61	Q15075
A7E2S9	Q8TBZ5
O00308	P23381
A8MX34	Q99961
Q8TAT2	Q93086
O00322	Q969S0
A6NIY4	Q8IVI9
Q969J5	Q8IXU6
Q9H633	Q9NUL5
Q92834	P43088
Q7Z5L4	O75530
Q7Z6V5	P22894
Q9Y4U1	O60519
O95544	Q9GZX6
Q6Y7W6	O15014
P00748	Q14654
Q5TIE3	Q9Y5I1
Q9HAW7	Q9Y5V0
Q9BYV6	Q8WW62
P02765	Q8NCA9
Q6J4K2	O95047
Q9BRL6	Q13094
Q6PJF5	Q8TCG1
P27348	Q7Z4S6
P35269	Q8TF05
A6NHR8	Q9Y4P9
Q12864	Q86SI9
Q9Y276	Q4G0F5
Q6UXI9	A6NLP5
Q902F9	Q9Y3F1
Q6PIV7	P0C5Z0
P63165	Q8TC90
Q9NWN3	P49720
Q8IZ81	P52954
A8MWK0	Q96H12
P69208	P01733
O75915	O43156
P20933	P31947
Q1X8D7	Q86YD1
P55061	Q9BS92
Q7Z4H3	Q8NC56
P51164	Q92617
Q9P1Z2	Q8NGI2
Q9NWH9	O95965
Q9HCH5	Q92186
Q8WUB2	A6NL05
Q9NQR4	A6NNX1
Q14689	Q8IYT4
O15156	Q9BYW1
Q9NX95	Q96JG6
P49683	Q99504
Q8N5C7	P56559
C9J069	O00534
P40200	Q8WUN7
Q9H6T3	Q969F8
Q9NW68	Q02817
Q7Z408	Q5T1R4
Q96DB2	P17752
Q96CN9	Q8NAG6
Q14012	P07327
C9JL84	P0DI81
P17301	Q8ND61
Q5XKK7	P01620
Q7Z4H4	P17707
Q6UWD8	P25391
P15173	Q96M11
Q9HC97	Q5H9T9
Q8WUA7	P23515
Q96IG2	Q2KHR2
Q8IU89	Q8NF64
O94830	Q14203
Q96G75	Q5T6S3
O15553	Q9BUW7
Q06124	Q04912
Q9C0J1	P68363
P30453	A6NJG2
Q9BSJ6	Q99895
O00391	P48431
Q7Z2K6	P81877
Q9BW71	Q15306
P33176	Q9NX53
Q8NHC8	Q9UIV1
Q9BVG9	O75445
P86481	Q6ZT98
H3BUK9	Q9NUL7
Q9UHF3	O43908
O14657	Q9BXA6
Q15517	P59544
Q6UB28	P06865
P21399	Q9NQ36
Q701N4	Q8WX92
Q96B42	Q8NCL4
Q9BW92	Q8N300
O14559	Q5T0F9
Q9UJC3	Q9UHB6
Q96BR9	Q9HCN3
Q8TE58	O14828
P61289	P30456
P58012	Q9UKA1
Q9UI33	Q9H172
Q8N3X6	Q96BD8
O15353	Q8TDQ0
Q16401	Q8NHZ8
A6NI03	Q9NUL5
Q5VTE0	O96000
O76082	Q92499
Q9H840	Q8IUX4
P04271	Q15047
Q16518	Q92615
O75689	P18858
O14925	O15034
C9JFL3	Q9UF72
O95573	Q8WXJ9
Q9BZV3	P07998
Q8NGC0	Q7Z7L1
Q05901	Q8IVB5
Q16627	Q12802
Q9P2Y5	P0DJG4
O60721	P84090
Q9UKL3	P25105
Q11128	Q96CW9
P40126	Q96CS2
Q5VXU9	Q96RJ6
P0CW24	Q8TCB0
P0CI25	Q9UJU5
O75400	O96015
O75326	Q8WVV9
Q6ZSC3	Q96Q07
Q6ZUX7	P09874
O15226	P0CG23
P54107	Q5FBB7
Q9Y605	Q9NPD7
Q9HBE4	Q8N0V5
P25705	Q9BZ71
Q96SW2	Q6NUI6
Q6ZR52	O95835
P18124	Q70E73
P32856	Q9BQ31
Q00765	P04731
Q8NFF2	Q9Y251
O95336	K9M1U5
Q96DH6	Q9UBC1
Q8N8V4	P21580
Q15825	P14550
Q7Z353	Q6WBX8
O14813	Q9H9T3
Q9P0W5	Q9Y3E7
Q8NHE4	Q8N9V2
Q9BXU1	P09601
O60239	Q4KMQ1
Q14154	A6NI86
Q9HCS4	P04278
P22310	O00341
P05452	P26583
Q9UBC3	A2VDJ0
P23588	Q96N95
Q96RD6	Q8TE12
Q7Z7J7	Q8WYL5
Q9BYQ0	O95154
Q1W209	O15143
Q6P1K2	Q9UHA2
Q9H1Q7	Q8NH03
P0CJ85	P0CAP1
Q9GZN4	P15311
P52803	Q9NZI7
O94992	Q969F2
Q93088	Q9UI40
Q5H9M0	P40818
P14151	Q92832
P40199	Q8IY82
Q5R387	Q6ZNG1
Q13887	A8MVW0
P98161	Q8WUU4
Q9Y2X8	P10619
Q86WT1	Q8NB16
P23284	Q3LI59
Q8TB33	Q9H6R6
Q16864	P62995
Q8IWL3	O14775
O95478	Q8IZ81
P48995	Q9UNW9
P0DKX0	P98095
P59046	Q03701
A4UGR9	Q9C0I4
Q9HD89	Q96F46
Q969X1	Q8TAD8
Q6T423	A8MWA4
Q5TYW1	Q8WWY6
O60882	P35125
Q96BQ3	Q13402
O75382	Q6PIS1
P27487	Q8TBC5
Q9GZV9	Q8TF68
Q96BD8	Q9NUT2
Q8NFU3	Q8TCB7
O43819	Q9H7T0
Q9NP73	O15431
Q96MH6	P13500
O00339	Q8N5I9
Q9GZY8	A6NFE3
Q5VZV4	P50454
Q8TBE1	Q9BR26
Q8N3L3	Q96RS0
Q9H6A9	O43761
O75121	P10314
Q86U70	P68036
O60315	P15289
Q9UIQ6	O95251
Q8WW59	P12236
Q15118	Q8WVI7
Q08495	O75121
Q8N8Q1	Q9BRP7
A6NEN9	P20061
Q96IW2	P39877
P40261	Q5QGS0
Q96LL3	Q9NY65
Q9BZ95	Q9Y5P1
Q9H9L4	Q14714
A6NC42	Q7Z5Q5
P01779	A8MU93
P62341	O95522
P63165	Q9HB65
Q8TF46	Q8NGN3
Q9H5F2	P52823
Q6UX52	Q8N594
Q16609	O43597
P48454	P30511
Q9BQN1	Q96B26
D3W0D1	P49821
P22674	Q9H598
Q8WXG9	Q9UNE2
Q92830	P62952
Q9H3D4	Q96DB2
P43307	P31268
O00370	Q5HYK3
Q96S19	P16389
Q8WW33	Q92665
Q8WWU5	Q02817
O43402	Q86VR2
Q9NWZ5	Q6PUV4
O60315	Q16655
Q9BW27	P57060
Q00653	Q9UPR0
M5A8F1	Q8N9S7
P59103	P51522
O60911	P61567
Q96CV9	Q9Y657
P55345	Q53HL2
P32455	Q14409
Q9NZL6	Q9H461
P20719	Q96LT7
Q8TF27	A1A4V9
Q14739	Q9H2F3
Q53FP2	Q9BVR0
A6NNC1	P0CW22
Q9UKT4	Q9GZZ8
P35070	Q9H598
Q15375	Q13772
Q8IZ63	P04209
Q9BTC0	Q9Y694
P10323	Q9UGJ0
Q9BZM5	O75631
Q6T311	Q9H875
Q643R3	Q9H7N4
Q8TAC1	Q9H3N8
Q8N5Y8	Q8IWU6
Q99729	Q96P31
Q6P280	Q9UKR3
Q8N0Y3	Q96PZ7
Q86SG3	Q9NTI2
Q9UNY4	O95931
P13674	Q8NG95
O00744	Q9BVV2
P58512	P17661
Q86X02	Q93097
P11216	Q9UBQ7
P31943	Q6UWJ8
P63162	Q9UDY2
P01860	Q8NA31
Q92759	Q96EX1
Q658Y4	Q96R48
Q5TBB1	Q96N03
Q969F0	Q9UKJ3
Q8TBC3	Q9Y231
Q16787	Q8N819
P22061	P57088
Q96EB1	P41225
Q8TEE9	Q3LHN2
Q13886	P63122
Q9UNK4	O14924
Q5VSD8	P14651
Q9NP80	Q6IA17
P28039	O43521
P0CE72	Q99731
P23469	Q9HCG1
Q96B45	B1AK76
Q6NS38	O95744
Q8IV48	O00443
Q9UGH3	Q5T0N1
A8MUU1	Q1A5X6
O14627	O15217
P24385	Q68CJ6
Q63HQ0	Q96R72
P0CJ69	P78426
P47883	Q3KR16
A4D2B0	Q13588
Q06278	Q6EEV6
Q8TF40	Q86XL3
Q75VX8	Q5JPI3
Q96C92	O95182
O00451	Q9H665
Q8NA56	Q9UN70
Q9NUP9	P80511
Q9BVV2	Q9UHD2
Q11130	Q9UKJ3
O43896	O15258
A6NHN0	Q05586
P16422	P51788
P28074	P01270
Q92614	Q8IVF1
Q8NG11	O60248
O15254	Q15007
Q8NE79	Q8N8I0
P69891	P04208
A0ZSE6	Q8N5D0
O75129	Q6YI46
Q0VAK6	Q5K4L6
Q9P2N5	Q96N96
Q9H3V2	Q9BQC3
O95243	Q8NC60
O14519	P49795
Q8WZ75	Q9H4T2
P35558	Q96M95
P13236	Q15008
Q5W0U4	Q5HYJ1
Q8N8V4	P28476
Q6ISS4	Q9UKN8
Q15746	Q9Y3C6
Q8N9B4	P36544
Q8NFD2	O95996
Q9BXS4	Q5TH74
Q96RN5	Q9P289
Q5TA45	P43631
P57735	P0C843
Q96M66	Q9Y3S2
P0C7V8	P17181
Q6P4R8	Q13561
Q9Y3A3	Q9H2S1
Q9NQ86	Q9BXJ3
Q8IX21	Q8WZ19
P19388	Q9HD87
O96006	Q9UL25
P16435	Q86TL2
Q9BU79	Q9Y4D1
Q8NGJ3	Q96PM9
Q6RFH8	A6NI86
Q9NZT2	Q9BZF1
P56178	Q9UPN4
Q96J02	P40616
A1L4Q6	Q16585
O15194	P0DJD0
Q6DN12	Q8NEJ0
A8MV65	Q15004
Q5XPI4	Q96AX9
Q5VXI9	P18463
Q9UKY4	Q53H96
Q8N4E7	P06309
O14818	Q02548
Q6P1X5	P15313
O15552	O14977
Q5T7N3	Q8NH41
Q7Z4W2	O95782
O75643	C9J6K1
Q8IXW5	Q2V2M9
Q9P2G9	Q96GY0
Q9Y2R2	Q7Z2Q7
Q92839	Q9H7J1
A7KAX9	Q9H0Y0
Q8NDC0	Q9GZR7
Q8TDW0	Q8NGA8
P09919	O95800
O43529	Q32MH5
A8MVJ9	Q86VI1
Q9Y5A9	Q9UQR0
Q9H1I8	Q96NR3
O43307	Q9BY77
Q99467	Q6DKI1
Q9NPH3	Q9BWW4
Q969Y2	Q9H8W4
Q8N4G2	O94769
Q49AS3	Q8NGH8
Q5TAG4	Q5GAN3
P21580	Q13046
E7ETH6	O76075
P60981	P0CJ89
P63128	A6NIR3
Q9NQ34	Q17RR3
Q8WX92	Q5VVW2
Q7Z7F7	P13631
Q9BZ11	Q86UN6
Q96PV4	P27448
Q15388	Q9BZR8
Q9P225	Q8N3Y1
Q5T751	Q96CM3
Q16659	Q86WS3
Q86V87	A0PJZ0
Q7Z422	Q9UHV7
Q6ZRC1	O75342
Q92185	Q96MT1
Q8TBF4	Q12918
P23276	Q96IQ9
P25089	O15353
Q9BYP9	P28838
Q6IE37	O75874
Q6L9W6	Q96BD8
Q13536	Q0GE19
Q8NCH0	O00370
P28482	O75448
Q10713	P78330
Q9NX46	Q8WWL2
Q16653	P62995
Q86TY3	P51864
Q15650	P00740
Q8IZC6	O95069
P01358	B3SHH9
Q86YP4	O60729
Q96IQ7	Q8IX05
P52740	Q4KMZ8
Q9NRY7	Q5K4L6
Q5T7M9	Q03989
Q14D33	P51571
P0CJ76	P13942
P07477	Q9Y3X0
Q8IVF7	P02771
Q8N7X8	Q9UMS4
Q8N6G2	Q86YH6
O75915	Q15813
Q969Z3	O60293
Q15762	Q15743
Q7Z6K4	Q99593
Q96GX1	Q9Y226
Q9H7H0	P00519
P33402	Q9H4I0
P08651	A8MT66
P61081	Q9H4D5
P43360	Q16658
Q6ZP65	P20042
Q13322	A6NHQ4
O75444	O60315
Q9Y4J8	Q15678
Q8IUR5	A6NK75
E2RYF6	Q8NHH1
Q9H1U9	Q9H160
Q8N539	P59037
Q8N8X9	Q11203
Q6PUV4	Q9BPZ2
O95777	Q9Y4K4
Q8NGK1	Q9H5Z1
Q9BWT3	Q13323
Q13057	O95319
Q8NFZ4	Q92696
Q9UPM6	Q9UI38
P09382	P28161
Q86UU5	B1ANS9
Q5VWQ0	P13533
P32245	Q9GZN4
Q9BRP1	Q9UH73
Q8NGN5	Q8NB15
A8MVU1	P14410
Q7Z2K6	Q9UFN0
Q13477	A8MUU1
Q8N4C9	P40933
Q9H8P0	Q9NZY2
Q96I51	Q86XI2
Q9GZK3	Q8N4Y2
Q9Y328	Q96MK2
O94777	Q14126
P16860	P23142
Q6P1L5	P48745
P56539	Q5VYY2
P80748	Q9H3H9
P62380	Q9HBI6
P28290	P57103
P03989	Q96MC9
P05165	Q9BQN1
Q9H3K2	P17936
P67812	Q9UPT5
Q8N9V3	Q8IWD5
Q9H9K5	Q8IZW8
Q5TZJ5	Q8NGS4
Q12756	Q96S82
Q8NCW0	Q969S8
P32241	Q7Z3V5
Q96PQ1	Q96DD7
Q9NRX6	P13798
Q9H0U9	P0CG40
Q9H0I9	A6NKC9
P25786	Q15238
Q9BTK6	P48594
Q96GV9	Q96I59
O75095	Q7Z404
O14788	Q9NSD9
P21695	Q8IYX1
Q8WV07	O43761
P28838	Q9Y5Y3
Q15070	P59665
Q4ZG55	Q6UXB0
O95219	O43930
Q9H081	Q9BTM9
Q70J99	P0C7M3
P28074	Q9UI40
Q5T742	Q9H009
P28223	Q8N2I9
Q99437	Q6GMV2
Q9Y295	Q8NFH5
Q6P2H3	Q14914
P16473	Q96NF6
Q9HBW0	O14520
Q8NBI2	Q9UBV7
Q8IUM7	Q9UKL3
Q59EK9	Q8TCB0
Q99946	Q9NR77
Q8TBZ9	Q8IY31
Q9NS66	Q8IYN6
Q6A1A2	P62807
Q9NR61	O76074
A6NN73	Q5SZJ8
Q6WQI6	O95970
P82279	Q96SN7
O95707	Q5JVF3
Q5JVF3	P42857
Q8NB16	P41214
O75027	Q8NEP4
O95180	Q7Z5J4
Q9NZR2	Q658N2
P58872	Q6ZST4
Q6ZNG1	P01024
Q96PP8	Q5VU13
Q9C0B9	Q9NQ48
O00757	O95620
A7MCY6	Q8TEY5
Q9H320	Q9Y4P8
Q9Y223	Q06455
Q96MW1	Q9Y3B4
P55008	Q9H9P5
A8MVS1	A1IGU5
Q9UII2	Q9NRW1
Q5T6F2	P10523
Q96PG1	Q6NSJ2
Q6W3E5	Q969M2
O75840	Q96JH7
P49238	P59538
O60243	Q9H6T0
Q86WZ0	Q5T160
P01033	Q9BQI6
A6NEH8	P10398
Q6P4Q7	P0CW71
Q8WTZ3	Q8N9W4
Q86VP1	P12931
Q53FA7	A2A3L6
A0PJK1	Q96QC0
O75820	O75409
Q8WUM4	Q9NS62
Q8WWC4	Q658T7
Q6ZSU1	Q9NVM4
Q6PP77	Q05516
P62685	A6NFN3
A8MQ03	P07360
Q6ZUL3	Q9BQE6
Q12864	Q15057
Q14019	A6NFC5
P18848	Q9BV19
P10075	Q9UL62
P53677	O95741
A6NK75	Q8WWT9
Q01459	Q04743
Q9BXH1	P29590
P19878	Q9Y605
Q9Y3M2	P13385
Q9NZV7	Q86UC2
Q9UN81	Q8IZF0
Q16581	Q96CX3
Q9UI15	P63123
Q08174	Q8N119
Q07954	Q96MZ0
Q8WUA4	P08833
Q3Y452	P48745
P22897	Q5QP74
Q8N127	Q96JB5
Q8WXS4	P32242
Q5SRH9	Q9BSF0
O43405	O15041
P62495	Q8N6N7
P12643	Q9Y5V3
Q5T953	Q8TF05
Q13185	Q71F56
P04629	O43543
Q9H2G9	Q9Y6X1
Q8N5S1	Q15397
P78395	A6NI61
O95571	Q9BXK1
Q9HCM9	Q9H6Z4
Q96PQ0	O60826
Q8N111	P02749
Q9NP77	Q6P2E9
Q92636	P16870
Q3KQZ1	Q8WTP9
Q8TCB6	Q8IZR5
A6NNE9	Q8WU67
Q9UNK0	A6NLC5
Q16082	Q8WY07
P31994	Q6SA08
A6NGC4	P46597
Q9BRJ9	P42702
P98171	Q9H6D7
P0C7X2	Q9BQ90
Q7L0J3	P40939
Q2M329	Q13637
Q8N9R0	P32942
Q6F5E7	Q8NA96
Q9HCU0	Q9Y4D7
P15313	P48764
Q96CQ1	P49335
Q71F56	Q53FP2
P40616	A6NGK3
Q9BQI4	Q9BZM1
O60682	Q8N7R0
O94779	Q92611
P08183	Q9NZ20
Q7Z6J0	Q99708
Q9P0T7	Q8NG78
Q8WTT2	P22079
Q92508	Q13309
Q7Z2E3	P16278
Q9GZZ7	Q96T58
P07900	Q8N944
Q86YL5	P0C623
Q9Y2Y4	Q92565
C9JLW8	P10275
Q3BBV1	P01606
P23634	Q9H2I8
Q8WW14	Q9UBX7
P41227	Q9H1H1
Q8N2K1	Q8TCJ2
Q8IUW5	P06729
Q6UWX4	Q9UKI9
Q96JC4	Q96EH5
F8VTS6	Q8N135
P01920	P54727
Q6PK04	Q8WUA4
Q5SRH9	P78396
P10826	P63010
Q9Y6M1	P29475
Q5T4T1	Q86X53
Q9ULW0	Q92558
P51149	Q8N6H7
Q12778	O95199
Q8NEY4	Q9Y6G5
Q9H9D4	Q14498
O95405	Q5ST30
O95455	B2RXF0
P01593	A8MTY0
P25311	Q96RT6
Q8NCX0	P41594
P43080	P10451
Q96RP7	Q30KQ5
P22103	Q8IWG1
Q96HL8	Q9ULA0
Q9HAY6	A4D1S0
P51511	Q9Y2I7
P53634	Q96FH0
P48431	Q86X83
Q9Y4I1	Q14392
Q5SV17	Q32M78
Q9H8P0	P31350
P0DMQ5	Q9Y6X2
P18827	Q05923
Q16619	P16144
Q8N5C1	Q9C0D0
Q96T68	P21359
Q8NA31	Q8WXC3
Q5JPH6	P09683
A2RU30	Q96EY7
Q96ND8	P41235
O14543	Q8N567
O75956	Q01844
Q96EQ0	Q8NA58
O76054	P48546
Q9H7R0	Q5VVY1
Q9P2F6	O75489
Q9UJ55	Q96P65
Q9H5V9	O95255
Q8NHG8	O43749
O00411	P13942
Q92989	P50747
O14978	A6PVL3
O95918	Q9NRH2
O00634	Q9NYG5
Q12791	O75899
P01816	P48745
Q9BYT5	Q92966
Q15700	Q9ULH7
Q8IWS0	Q96FH0
Q96DR5	Q8N769
Q9UBQ6	Q96A56
O75909	Q9NR00
Q9NR45	Q9NR48
Q9BZM4	Q8IXE1
P63211	Q96MG8
Q6WKZ4	P0C7M6
Q8WVT3	Q86YB7
Q9UFN0	Q8TC71
P14317	P82933
Q9NV12	Q8IZS6
Q70CQ3	A6NEN9
Q6UWS5	P18084
Q99615	Q9H223
Q7Z6B0	P07307
Q96PB7	Q8TBE7
Q8TCN5	P14653
P52803	Q8NB37
A8MTZ0	Q9C0K3
Q8TCB0	O75676
O14662	Q9BYP9
Q8N0Z3	P62714
Q96RP9	Q7Z5Y6
Q05923	Q9UJT1
Q9HBT8	Q9NRR3
Q9Y2G4	Q13255
P55774	Q9BRX8
Q9HC77	Q9NWS9
Q9C005	Q99501
Q86UP3	Q03933
Q86XT2	Q13530
Q9H1A7	P60033
Q6ZVC0	Q4G0W2
Q9HCE1	O94988
P49662	Q9BYB0
Q9NPH5	Q86U17
P38936	P0C5J1
Q14527	O75143
P51575	Q9NR00
Q9NPA3	Q8N9F8
A6NP61	Q99797
Q9UIA0	Q3KNW1
Q8IU99	Q8N201
P19876	Q8WXX0
H3BTG2	P16144
Q03938	P18669
Q66K66	P35372
Q9NRH3	Q8N6F1
Q6P1K1	Q658L1
P35270	Q9NZ43
P07205	P49796
Q16658	P54750
Q96JD6	Q5VIR6
P14151	O75356
Q6W0C5	P0C854
O15372	Q9UHG3
Q96EX1	Q96BF6
P0CB47	P34810
Q8WY54	Q15363
Q86VS8	Q9C0B9
O75192	Q13724
Q15526	Q9BYG0
P02655	P55157
O43929	Q9HAI6
Q9BT67	Q4VCS5
Q8IZC7	Q9Y244
O15072	Q16514
Q3T8J9	Q9H190
P0CL85	Q5SNV9
Q8NGG3	P01607
P28347	Q6ZMZ3
Q8TC27	Q01534
P01850	Q9Y5V3
Q96QR1	P49763
P52790	P51452
Q96ST8	O75886
Q9BYZ8	Q7L2R6
P46063	P08727
Q96GY0	Q14689
P08185	Q86Y97
Q8N6W0	Q6UY14
Q6FI13	P06307
Q8N7B1	Q8NCK7
Q9BXW7	Q9H7N4
P0DMS9	Q8IYT8
Q6UXB4	Q96D70
Q4FZB7	Q5JVS0
Q9Y2V2	Q8TET4
Q96C90	Q96T53
Q6ZVS7	P19367
Q8NGQ2	Q32P41
Q86UF1	Q9UJC3
Q9HBM1	P20711
Q92928	K7EIZ4
Q86TI2	Q96NG8
Q15388	H3BRN8
Q15572	P00414
Q6ZVH6	P28067
P31274	Q9BU64
Q9BZM2	Q9UHE8
Q7Z4V0	Q9BQ16
Q9NVI7	Q8WVZ7
P09417	P49238
O43463	Q86UU9
Q16651	Q8WXE0
Q9H853	P32929
Q32P44	Q969I3
Q8N4N3	Q9BY07
Q5T9C2	Q14746
Q9Y661	Q9NYZ1
P52824	O94876
Q15649	Q8NHH9
Q8N6N6	Q7L3V2
P06732	Q8NGU1
P19544	Q9P2X7
A6NJY1	O00264
P33763	Q6ZSZ5
O76062	Q9H9Y4
P0C6C1	P05164
Q9UNI6	O95336
P49815	P30613
A6NI56	Q8WW34
Q9HD47	Q8N3L3
Q8NFC6	Q15418
P35372	P35611
P01620	Q68BL8
Q9Y2R2	Q9P0M6
O14595	Q9NRP7
Q68D06	O95833
Q9HAW0	Q14061
Q9NRI7	Q9NWZ3
Q99828	P07451
Q86VB7	Q96SE0
Q5K651	O75915
Q5Y7A7	Q13956
Q7RTX7	Q9NQU5
P34969	Q13685
Q96D59	Q9UBV4
Q5W0Q7	P22102
Q6ZSG2	H0Y7S4
P62328	Q7Z601
Q96E39	Q2NL68
Q8IYU4	Q99742
P10747	Q8WXI3
Q8IZ08	Q86Y97
Q15517	Q5XLA6
P36957	Q9H0I9
O43559	P40967
Q8WXU2	Q8WY50
Q9UPV0	Q8N7C4
P36954	P20309
Q8NGR6	Q86YL7
Q9NZH5	A6NEC2
Q96NL3	Q6ZMK1
Q5SRH9	Q6ZW33
Q92731	Q8IW03
O76036	Q9HCU8
Q7Z6J6	Q5SRD3
Q15717	Q9H2Y9
Q5JXX7	P09669
Q9UN36	P58549
Q8NDC0	P08572
Q8N7U9	Q7RTS1
Q9ULM2	Q8NDP4
P57723	O00445
Q9NRA8	A8MYV0
Q9BZS9	O14734
P78380	Q8NGC2
P13805	Q9H8S5
Q9H6R0	P21917
